	nan	14.241	nan	nan	nan	nan	nan	nan	nan	nan	14.611	15.121	nan	nan	14.171	nan	14.421	14.561	13.221	nan	15.581	14.201	15.191	14.541	11.581	16.851	17.251	14.691	15.021	12.591	15.901	15.291	16.441	15.541	16.321	16.811	12.021	17.681	17.211						15.078
	nan	14.081	nan	nan	nan	nan	nan	nan	nan	nan	14.571	14.971	nan	nan	14.051	nan	14.411	14.451	13.181	nan	15.561	14.091	15.091	14.531	11.591	16.741	17.181	14.651	14.961	12.531	15.801	15.291	16.371	15.441	16.261	16.751	11.971	17.621	17.171						15.073
	nan	14.011	nan	nan	nan	nan	nan	nan	nan	nan	14.521	14.871	nan	nan	13.951	nan	14.391	14.321	nan	nan	15.541	13.991	15.031	14.511	11.511	16.661	17.101	14.601	14.821	12.361	15.681	15.251	16.321	15.391	16.131	16.711	11.911	17.551	17.021						15.073
	nan	13.951	nan	nan	nan	nan	14.151	nan	nan	nan	14.451	14.761	nan	nan	13.881	nan	14.351	nan	nan	nan	15.521	13.911	15.011	14.481	11.501	16.601	17.001	14.541	14.721	12.251	15.571	15.201	16.261	15.341	16.121	16.651	11.831	17.481	16.921						15.063
	nan	nan	nan	nan	nan	nan	14.111	nan	nan	nan	14.381	14.621	nan	nan	13.801	nan	14.271	nan	nan	nan	15.501	13.821	14.981	14.471	11.471	16.541	16.891	14.491	14.621	12.281	15.461	15.121	16.181	15.271	16.091	16.601	11.811	17.391	16.801						15.048
	nan	nan	nan	nan	nan	nan	14.061	nan	nan	nan	14.341	14.501	nan	nan	13.741	nan	14.201	nan	nan	nan	15.481	13.731	14.961	14.471	11.431	16.461	16.801	14.451	14.521	12.381	15.401	15.021	16.081	15.201	16.001	16.551	11.751	17.321	16.691						14.978
	nan	nan	nan	nan	nan	nan	14.011	nan	nan	nan	14.311	14.371	nan	nan	13.671	nan	14.111	nan	nan	nan	15.451	13.631	14.941	14.531	11.361	16.411	16.701	14.401	14.421	12.341	15.361	14.901	16.001	15.101	15.931	16.521	11.711	17.221	16.581						14.928
	nan	nan	nan	nan	nan	nan	13.891	nan	nan	nan	14.261	14.251	nan	nan	13.581	nan	14.021	nan	nan	nan	15.381	13.531	14.921	14.531	11.251	16.381	16.551	14.361	14.301	12.191	15.321	14.761	15.901	14.991	15.881	16.491	11.681	17.141	16.471						14.883
	nan	nan	nan	nan	nan	13.091	13.861	nan	nan	nan	14.081	14.171	nan	nan	13.461	nan	13.911	nan	nan	nan	15.301	13.431	14.901	14.541	11.161	16.331	16.491	14.321	14.151	12.031	15.271	14.641	15.821	14.891	15.841	16.451	11.611	17.041	16.371						14.823
	nan	nan	nan	nan	nan	13.031	13.771	nan	nan	nan	14.011	14.101	nan	nan	13.371	nan	13.811	nan	nan	nan	15.231	13.301	14.871	14.551	11.091	16.281	16.431	14.271	14.061	11.961	15.171	14.551	15.771	14.811	15.801	16.411	11.631	16.931	16.271						14.753
	nan	13.221	nan	nan	nan	13.001	13.621	nan	nan	nan	13.901	14.071	nan	nan	13.311	nan	13.691	nan	nan	nan	15.211	13.251	14.841	14.571	11.021	16.191	16.371	14.241	13.971	11.911	15.071	14.471	15.711	14.791	15.751	16.371	11.771	16.811	16.181						14.723
	nan	13.091	nan	nan	nan	12.921	13.471	nan	nan	nan	13.801	14.011	nan	nan	13.231	nan	13.671	nan	nan	nan	15.191	nan	14.811	14.571	11.041	16.171	16.271		13.891	11.891	15.001	14.411	15.641	14.751	15.711	16.311	11.751	16.691	16.091						
	nan	13.001	nan	nan	nan	12.871	13.331	nan	nan	nan	13.801	13.921	nan	nan	13.121	nan	nan	nan	nan	nan	15.141	nan	14.771	14.591	10.981	16.111	16.201		13.871	11.881	14.881	14.351	15.571	14.691	15.671	16.241	11.721	16.581	16.001						
