1.55	1.4	0.4	1.85	2	1.05	1.38	0.68	1.88	1.65	1.82	1.78	1.93	2.06	0.63	2.29	2.43	0.49	1.04	0.78	0.18	1.29	1.04
1.55	1.4	0.4	1.8	1.99	1.05	1.38	0.71	1.85	1.65	1.85	1.75	1.92	2.04	0.60	2.26	2.38	0.48	0.95	0.70	0.17	1.30	0.99
1.53	1.25	0.35	1.8	2	1.05	1.38	0.5	1.84	1.65	1.85	1.73	1.91	2.02	0.56	2.23	2.36	0.48	0.94	0.6	0.27	1.26	1.03
1.52	1.1	0.35	1.75	2	1.04	1.38	0.55	1.83	1.65	1.82	1.70	1.90	1.95	0.51	2.20	2.37	0.48	0.99	0.54	0.24	1.33	1.07
1.5	1	0.35	1.75	2.04	1.02	1.38	0.5	1.82	1.62	1.88	1.65	1.89	1.90	0.41	2.13	2.34	0.47	0.93	0.5	0.3	1.33	1.08
1.47	1.05	0.35	1.75	2	1.01	1.37	0.55	1.82	1.62	1.88	1.64	1.88	1.89	0.36	2.11	2.33	0.42	0.97	0.52	0.3	1.35	1.12
1.45	0.9	0.4	1.75	2	1	1.37	0.6	1.70	1.61	1.85	1.63	1.85	1.90	0.39	2.09	2.31	0.41	0.96	0.47	0.22	1.38	1.16
1.4	0.9	0.4	1.75	2	0.9	1.37	0.6	1.66	1.60	1.85	1.62	1.84	1.88	0.32	2.09	2.31	0.39	0.90	0.45	0.2	1.3	1.13
1.38	0.9	0.3	1.75	1.98	0.8	1.37	0.6	1.64	1.50	1.84	1.62	1.83	1.85	0.32	2.09	2.27	0.35	0.88	0.48	0.1	1.33	1.28
1.35	0.9	0.25	1.7	1.95	0.78	1.35	0.58	1.63	1.40	1.79	1.60	1.79	1.85	0.31	2.04	2.28	0.29	0.78	0.49	0.16	1.2	1.27
1.33	0.9	0.25	1.7	1.9	0.7	1.33	0.55	1.62	1.20	1.75	1.60	1.75	1.83	0.37	2.03	2.25	0.21	0.74	0.49	0.1	1.15	1.30
1.3	0.9	0.25	1.7	1.9	0.69	1.25	0.5	1.61	1.20	1.75	1.55	1.74	1.82	0.36	1.99	2.22	0.23	0.68	0.49	0.16	1.08	1.27
1.25	0.8	0.15	1.7	1.9	0.67	1.18	0.5	1.60	1.15	1.70	1.50	1.72	1.75	0.31	1.94	2.15	0.25	0.64	0.49	0.14	1.08	1.25
1.2	0.75	0.1	1.7	1.88	0.66	1.15	0.5	1.60	1.10	1.66	1.45	1.69	1.70	0.32	1.90	2.07	0.27	0.60	0.54	0.17	1.02	1.23
1.15	0.85	0.1	1.7	1.85	0.65	1.12	0.5	1.58	1.10	1.66	1.43	1.65	1.65	0.29	1.91	2.06	0.22	0.60	0.52	0.18	1.04	1.20
1.15	0.75	0.1	1.7	1.83	0.6	1.1	0.5	1.55	1.10	1.66	1.28	1.59	1.62	0.33	1.91	2.01	0.23	0.58	0.4	0.18	1.05	1.21
1.15	0.8	0.1	1.7	1.81	0.58	1.1	0.4	1.50	1.10	1.64	1.25	1.55	1.58	0.38	1.94	1.91	0.20	0.60	0.3	0.29	1.09	1.17
1.15	0.8	0.1	1.7	1.79	0.55	1	0.4	1.49	1.10	1.64	1.22	1.50	1.53	0.31	1.94	1.88	0.19	0.58	0.24	0.3	1.09	1.18
1.15	0.8	0.1	1.65	1.7	0.55	0.9	0.4	1.48	1.05	1.64	1.20	1.45	1.49	0.29	1.94	1.86	0.17	0.60	0.2	0.29	1.11	1.22
1.15	0.8	0.1	1.65	1.7	0.5	0.88	0.4	1.40	1.05	1.52	1.00	1.40	1.47	0.27	1.95	1.83	0.14	0.60	0.29	0.29	1.13	1.24
1.13	0.75	0.1	1.65	1.68	0.45	0.84	0.4	1.30	1.00	1.52	1.00	1.36	1.45	0.16	1.95	1.77	0.14	0.61	0.2	0.1	1.28	1.20
1.11	0.75	0.2	1.65	1.65	0.4	0.8	0.45	1.20	1.00	1.52	0.99	1.32	1.41	0.19	1.93	1.90	0.13	0.63	0.29	0.09	1.13	1.19
1.1	0.7	0.2	1.6	1.6	0.4	0.8	0.46	1.20	1.00	1.40	0.98	1.30	1.38	0.21	1.87	1.51	0.12	0.70	0.24	0.06	1.1	1.174583333
1.08	0.75	0.2	1.6	1.58	0.45	0.7	0.46	1.20	0.90	1.40	0.98	1.30	1.35	0.20	1.87	1.64	0.11	0.62	0.35	0.08	1.06	1.1775
1.05	0.75	0.2	1.6	1.55	0.42	0.6	0.43	1.20	0.90	1.44	0.86	1.30	1.33	0.19	1.82	1.54	0.13	0.62	0.43	0.07	1.03	1.125909091
1.03	0.75	0.15	1.55	1.55	0.43	0.5	0.43	1.15	0.88	1.44	0.90	1.28	1.30	0.19	1.78	1.47	0.15	0.60	0.49	0.05	1.07	1.133888889
1	0.8	0.15	1.55	1.54	0.43	0.4	0.4	1.05	0.88	1.44	0.85	1.23	1.28	0.26	1.59	1.39	0.16	0.57	0.52	0.03	1.16	1.1
0.98	0.8	0.15	1.5	1.5	0.41	0.4	0.4	1.05	0.88	1.44	0.80	1.18	1.25	0.27	1.57	1.29	0.18	0.42	0.57	0.1	1.21	1.062
0.96	0.75	0.15	1.5	1.45	0.4	0.41	0.4	0.99	0.80	1.44	0.75	1.14	1.23	0.33	1.55	1.20	0.17	0.46	0.56	0.22	1.19	1.017368421
0.95	0.75	0.15	1.45	1.4	0.4	0.37	0.4	0.95	0.80	1.44	0.70	1.09	1.20	0.25	1.51	1.19	0.20	0.40	0.5	0.24	1.07	1.001428571
