		6.815	6.825		7.535	9.905			8.565	7.195	6.155		11.075		7.765		7.825	9.345	7.585	9.265	8.775		7.435	7.925	7.935	8.895	6.555	10.305	10.005	10.815	9.465	10.665	10.935	4.805	11.725	11.765	5.725					9.778
		6.745	6.705		7.395	9.795			8.435	7.165	6.205		10.975		7.655		7.695	9.245	7.535	9.185	8.785		7.365	7.785	7.955	8.775	6.625	10.255	9.925	10.735	8.995	10.625	10.865	4.725	11.615	11.605	5.685					9.74
		6.615	6.615		7.255	9.665			8.315	7.125	6.225		10.885		7.555		7.635	9.165	7.475	9.125	8.735		7.295	7.675	8.025	8.655	6.645	10.195	9.895	10.655	8.985	10.595	10.865	4.725	11.505	11.465	5.665					9.704
		6.435	6.545		7.125	9.535			8.235	7.105	6.225		10.795		7.385		7.475	9.075	7.375	9.055	8.725		7.235	7.535	8.085	8.515	6.555	10.145	9.915	10.585	9.165	10.535	10.765	4.695	11.365	11.245	5.655					9.671
		6.255	6.485		6.985	9.405			8.185	7.135	6.125		10.705		7.315		7.375	9.025	7.275	9.015	8.725		7.165	7.415	8.115	8.395	6.425	10.075	9.885	10.535	9.215	10.355	10.675	4.625	11.205	10.945	5.635					9.627
		6.005	6.435		6.865	9.245			8.115	7.195	6.175		10.605		7.175		7.305	8.925	7.175	8.975	8.725		7.105	7.305	8.105	8.285	6.345	9.955	9.835	10.475	9.195	10.175	10.665	4.625	11.095	10.795	5.605					9.557
		5.905	6.365		6.735	9.065			8.035	7.235	6.175		10.495		7.035		7.205	8.775	7.055	8.935	8.755		7.065	7.235	8.055	8.155	6.245	9.875	9.795	10.415	9.055	10.075	10.555	4.715	10.985	10.675	5.565					9.477
		5.735	6.285		6.645	8.905			7.965	7.245	5.965		10.385		6.885		7.135	8.685		8.915	8.785		7.005	7.215	7.975	8.005	6.155	9.645	9.625	10.395	8.985	10.015	10.415	4.785	10.805	10.555	5.535					9.392
		5.665	6.215		6.565	8.735			7.925	7.285			10.285		6.795		7.055	8.595		8.825	8.795		6.955	7.035	7.825	7.855	6.065	9.535	9.525	10.335	8.945	9.865	10.425	4.725	10.675	10.445	5.535					9.289
		5.825	6.175	7.195	6.475	8.605		7.785	7.875	7.325			10.175					8.475		8.695	8.785		6.905	6.975	7.625		6.065	9.435	9.425	10.275	8.505	9.815	10.335	4.705	10.505	10.305	5.515					9.173
		5.625	6.155	7.155	6.355	8.485		7.715	7.775	7.335			10.065					8.415		8.575	8.765		6.845	6.815	7.425		6.115	9.325	9.335	10.255	8.425	9.715	10.275	4.675	10.345	10.215	5.495					9.055
		5.625	6.155	7.175	6.275	8.415		7.675	7.635	7.295			9.955					8.315		8.485	8.745		6.765	6.725	7.205		6.085	9.245	9.205	10.215	8.325	9.695	10.235	4.655	10.165	10.105	5.495					8.921
		5.635	6.145	7.205	6.215	8.365		7.635	7.505	7.245			9.835					8.315		8.435	8.715		6.685	6.615	7.035		6.055	9.145	9.085	10.145	8.295	9.485	10.155	4.665	10.005	10.025	5.425					8.799
		5.675	6.125	7.515	6.175	8.315		7.595	7.365				9.735					8.335		8.395	8.675		6.615	6.535	6.875		5.975	9.015	9.035	10.115	8.225	9.395	10.065	4.615	9.865	9.925	5.235					8.655
		5.555	6.125	7.345	6.145	8.275		7.615	7.275				9.625					8.325		8.355	8.635		6.535	6.465	6.775		5.905	8.905	8.985	10.095	8.075	9.285	9.995	4.565	9.705	9.865	5.315					8.568
		5.515	6.115	7.465	6.135	8.235		7.655	7.185				9.535					8.325		8.335	8.595		6.475	6.425	6.665		5.855	8.805	8.885	10.095	8.145	9.185	9.935	4.535	9.545	9.775	5.395					8.527
		5.475	6.105	7.535	6.105	8.195		7.745	7.075				9.465					8.265		8.395	8.555		6.425	6.365	6.585		5.745	8.725	8.785	10.105	8.065	9.055	9.895	4.475	9.425	9.695	5.415					8.485
