	8.26	6.71	4.73	5.02				5.65
	8.27	7.06	4.78	5.07				5.73
	8.27	6.84	4.82	5.11				5.78
	8.26	6.87	4.86	5.13				5.83
	8.25	6.91	4.91	5.14				5.88
	8.24	6.93	4.95	5.15				5.94
	8.24	6.96	4.99	5.15				6.00
	8.24	6.97	5.04	5.15				6.05
	8.25	6.98	5.12	5.15				6.09
	8.29	6.99	5.18	5.15				6.14
	8.31	7.00	5.24	5.15				6.18
	8.34	7.00	5.31	5.12				6.22
	8.34	7.00	5.37	5.09				6.27
	8.34	6.99	5.42	5.06				6.31
	8.37	6.99	5.48	5.03				6.34
	8.43	6.98	5.55	5.01				6.37
	8.47	6.95	5.60	5.00				6.41
	8.63	6.93	5.65	4.98				6.44
	8.63	6.89	5.71	4.98				6.47
	8.47	6.86	5.75	4.97				6.50
	8.47	6.79	5.78	4.95				6.53
	8.47	6.72	5.82	4.94				6.56
	8.46	6.65	5.84	4.94				6.58
	8.46	6.57	5.84	4.95				6.60
	8.47	6.49	5.85	4.96				6.63
	8.47	6.41	5.84	4.96				6.64
	8.47	6.33	5.84	4.97				6.65
	8.45	6.25	5.84	4.98				6.66
	8.42	6.17	5.84	4.96				6.66
	8.41	6.10	5.84	4.96				6.66
	8.39	6.03	5.87	4.94				6.66
	8.37	5.96	5.87	4.92				6.66
	8.34	5.89	5.85	4.90				6.66
	8.34	5.85	5.84	4.89				6.66
	8.31	5.80	5.81	4.86				6.67
	8.26	5.76	5.77	4.84				6.66
	8.20	5.71	5.74	4.83				6.67
	8.14	5.67	5.71	4.67				6.67
	8.12	5.63	5.67	4.62				6.65
	8.09	5.59	5.64	4.57				6.64
	8.04	5.55	5.62	4.53				6.63
	7.98	5.49	5.59	4.49				6.62
	7.96	5.43	5.56	4.44				6.59
	7.91	5.37	5.54	4.43				6.58
	7.89	5.31	5.51	4.40				6.5625
	7.84	5.24	5.50	4.32				6.535416667
	7.82	5.17	5.50	4.25				6.511666667
	7.80	5.11	5.48	4.20				6.482916667
	7.79	5.05	5.45	4.17				6.46375
	7.77	5.01	5.42	4.13				6.440416667
	7.77	4.97	5.39	4.10				6.400833333
	7.75	4.96	5.35	4.05				6.37625
	7.72	4.94	5.30	3.99				6.342916667
	7.69	4.94	5.26	3.99				6.299583333
	7.66	4.90	5.21	3.95				6.254545455
	7.63	4.84	5.15	3.87				6.195
	7.60	4.78	5.09	3.78				6.150833333
	7.57	4.75	5.05	3.68				6.11125
	7.54	4.70	4.98	3.64				6.064583333
	7.51	4.68	4.88	3.52				6.01173913
	7.47	4.66	4.77	3.45				5.967083333
	7.43	4.66	4.70	3.42				5.917647059
	7.40	4.65	4.62	3.41				5.855
	7.37	4.59	4.55	3.45				5.829166667
	7.33	4.57	4.50	3.45				
	7.30	4.59	4.44	3.42				
	7.28	4.57	4.37					5.58
	7.24	4.52	4.33					5.54375
	7.21	4.45	4.29					5.4675
	7.19	4.39	4.23					5.397083333
	7.18	4.33	4.20					5.323333333
	7.15	4.24	4.13					5.28125
	7.12	4.16	4.08					5.27125
	7.15	4.10	4.01					5.266666667
	7.21		3.95					5.274583333
	7.19		3.88					5.28
	7.16		3.85					
	7.14		3.83					
	7.14		3.82					
	7.12		3.82					
	7.09		3.82					
	7.06		3.82					
	7.04		3.82					
	7.02		3.81					
	7.00		3.77					
	6.98		3.76					5.2085
	6.96		3.77					5.18
	6.96		3.80					5.1275
	6.94		3.84					5.062083333
	6.92		3.93					5.045
	6.90		4.06					5.010416667
	6.87		4.22					4.987916667
	6.83		4.30					4.969166667
	6.80		4.34					4.925416667
	6.77		4.37					4.84625
	6.71		4.39					4.7975
	6.67		4.44					4.744583333
	6.64		4.52					4.667916667
	6.63		4.58					4.59875
	6.63		4.63					4.563333333
	6.60		4.65					4.5135
	6.58		4.69					4.502666667
	6.56		4.74					4.510416667
	6.56		4.79					4.502083333
	6.53		4.86					4.47375
	6.52		4.90					4.411666667
	6.52		4.94					4.394166667
	6.51		4.95					4.382083333
	6.51		4.98					4.343333333
	6.50		5.01					4.304583333
	6.48		5.05					4.31375
	6.45		5.08					4.349166667
	6.42		5.09					4.34625
	6.40		5.11					4.337916667
	6.40		5.15					4.417083333
	6.38		5.18					4.51875
	6.35		5.23					4.590416667
	6.32		5.26					4.672916667
	6.27	4.87	5.28					4.730833333
	6.23	4.81	5.31					4.75625
	6.19	4.77	5.33					4.794583333
	6.16	4.73	5.34					4.907083333
	6.14	4.67	5.35					4.97
	6.13	4.61	5.38					5.01375
	6.19	4.55	5.38					5.056666667
	6.19	4.49	5.39					5.1075
	6.20	4.43	5.38					5.157916667
	6.21	4.39	5.39					5.184583333
	6.21	4.37	5.41					5.223333333
	6.21	4.41	5.41					5.232916667
	6.20	4.43	5.41					5.272916667
	6.18	4.45	5.38					5.302083333
	6.18	4.47	5.38					5.335833333
	6.18	4.48	5.38					5.364583333
	6.18	4.47	5.40					5.394166667
	6.18	4.45	5.38					5.42625
	6.15	4.42	5.36					
	6.13	4.40	5.36					
	6.11	4.37	5.37					
	6.11	4.33	5.40					
	6.11	4.29	5.46					
	6.11	4.24	5.48					
	6.12	4.25	5.50					
	6.13	4.27	5.50					
	6.15	4.29	5.50					
	6.19	4.34	5.51					
	6.25	4.39	5.45					
	6.25	4.44	5.49					
	6.27	4.51	5.48					
	6.29	4.52	5.45					
	6.34	4.53	5.44					
	6.43	4.58	5.48					
	6.49	4.64	5.53					
	6.57	4.71	5.56					
	6.63	4.78	5.57					
	6.69	4.85	5.58					
	6.76	4.89	5.59					
	6.80	4.94	5.62					
	6.85	4.99	5.65					
	6.89	5.05	5.67					
	6.95	5.13	5.67					
